2025-06-02 15:26:26 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 59
2025-06-02 15:26:26 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA
2025-06-02 15:26:26 Line: 318, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: PA 51/2025
2025-06-02 15:26:26 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: 127.0.0.1
2025-06-02 15:28:56 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:28:57 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2025-06-02 15:28:57 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: 7777917953
2025-06-02 15:28:57 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 59
2025-06-02 15:28:57 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA
2025-06-02 15:28:58 Line: 318, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: PA 52/2025
2025-06-02 15:28:58 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: 127.0.0.1
2025-06-02 15:40:23 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:40:23 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2025-06-02 15:40:23 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: 7777917953
2025-06-02 15:40:24 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 59
2025-06-02 15:40:24 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA
2025-06-02 15:40:24 Line: 318, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: PA 53/2025
2025-06-02 15:40:24 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: 127.0.0.1
2025-06-02 15:41:32 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:41:32 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2025-06-02 15:41:33 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: 7777917953
2025-06-02 15:41:33 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 59
2025-06-02 15:41:33 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA
2025-06-02 15:41:34 Line: 318, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: PA 54/2025
2025-06-02 15:41:34 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: 127.0.0.1
2025-06-02 15:46:14 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:46:14 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2025-06-02 15:46:14 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: 7777917953
2025-06-02 15:46:14 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 59
2025-06-02 15:46:14 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA
2025-06-02 15:46:15 Line: 318, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: PA 55/2025
2025-06-02 15:46:15 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: 127.0.0.1
2025-06-02 15:46:25 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:47:34 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:47:34 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2025-06-02 15:47:34 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: 7777917953
2025-06-02 15:47:34 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 59
2025-06-02 15:47:34 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA
2025-06-02 15:47:35 Line: 318, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: PA 56/2025
2025-06-02 15:47:35 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: 127.0.0.1
2025-06-02 15:47:37 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:49:40 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:49:43 Line: 107, APISubiektGT\SubiektGT\Order->getPdf: Wygenerowano pdf dokumentu: PA 56/2025
2025-06-02 15:49:43 Line: 95, APISubiektGT\SubiektGT\order->getpdf: Request finish: 127.0.0.1
2025-06-02 15:58:10 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:58:11 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2025-06-02 15:58:11 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: 7777917953
2025-06-02 15:58:11 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 59
2025-06-02 15:58:11 Line: 73, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA
2025-06-02 15:58:12 Line: 313, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: PA 57/2025
2025-06-02 15:58:12 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: 127.0.0.1
2025-06-02 15:58:16 Line: 11, : Request start: 127.0.0.1
2025-06-02 15:58:17 Line: 107, APISubiektGT\SubiektGT\Order->getPdf: Wygenerowano pdf dokumentu: PA 57/2025
